Time,CoV-19_deaths
Jan-2020,0
Feb-2020,0
Mar-2020,9
Apr-2020,26
May-2020,13
Jun-2020,4
Jul-2020,18
Aug-2020,24
Sep-2020,35
Oct-2020,31
Nov-2020,13
Dec-2020,88
Jan-2021,165
Feb-2021,98
Mar-2021,23
Apr-2021,11
May-2021,5
Jun-2021,5
Jul-2021,12
Aug-2021,35
Sep-2021,39
Oct-2021,19
Nov-2021,8
Dec-2021,12
Jan-2022,74
Feb-2022,76
Mar-2022,20
Apr-2022,11
May-2022,30
Jun-2022,33
Jul-2022,47
Aug-2022,54
Sep-2022,25
Oct-2022,8
Nov-2022,21
Dec-2022,53
Jan-2023,17
Feb-2023,13
Mar-2023,15
Apr-2023,19
May-2023,12
Jun-2023,6
Jul-2023,6